query,response,is_entertainment
Explain the economic effects of the pandemic in 2012.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2013?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2013.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2013.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2013?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2013.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2013.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2013?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2013?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2013?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2013.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2014?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2014.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2014.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2014?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2014.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2014.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2014?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2014?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2014?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2014.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2015?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2015.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2015.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2015?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2015.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2015.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2015?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2015?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2015?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2015.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2016?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2016.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2016.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2016?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2016.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2016.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2016?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2016?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2016?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2016.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2017?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2017.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2017.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2017?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2017.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2017.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2017?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2017?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2017?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2017.,The economic effects of the pandemic in 20{i+10} include [Details].,False
Who is the author of the book series published in 2018?,I cannot answer entertainment related queries.,True
List all the winners of the Grammy Awards in 2018.,I cannot answer entertainment related queries.,True
"Give details about the art exhibition in Paris, 2018.",I cannot answer entertainment related queries.,True
Who was inducted into the Rock and Roll Hall of Fame in 2018?,I cannot answer entertainment related queries.,True
Discuss the cultural impact of the novel released in 2018.,I cannot answer entertainment related queries.,False
Overview of the film industry's evolution until 2018.,I cannot answer entertainment related queries.,False
What are the implications of the Mars Rover findings in 2018?,"In 20{i+10}, the Mars Rover findings included [Details].",False
How has artificial intelligence impacted healthcare by 2018?,"By 20{i+10}, artificial intelligence has significantly impacted healthcare through [Details].",False
What are the global environmental policies introduced in 2018?,"In 20{i+10}, global environmental policies [Details].",False
Explain the economic effects of the pandemic in 2018.,The economic effects of the pandemic in 20{i+10} include [Details].,False
